191,577,320,575,320,594,192,597,0.9995253
236,396,432,384,435,441,240,452,0.9994728
190,560,496,542,497,568,192,587,0.99945396
158,548,320,539,321,559,160,568,0.9994469
78,590,192,582,193,602,80,609,0.9994271
94,495,496,471,497,493,96,517,0.9994259
222,356,432,346,433,375,224,385,0.9994072
544,111,607,112,607,130,543,129,0.9993975
79,572,192,568,192,587,80,591,0.99937576
143,152,192,149,192,167,144,169,0.9993703
80,552,160,556,160,576,79,572,0.999363
413,71,512,64,514,92,416,99,0.9993414
158,518,432,502,433,524,160,539,0.99933356
110,465,480,445,481,469,112,488,0.9993186
175,68,256,65,256,86,176,88,0.9993185
