192,51,528,56,528,93,191,88,0.99975497
192,107,672,108,672,138,191,137,0.99975187
191,552,976,549,976,581,192,585,0.9997501
192,230,608,230,608,259,191,259,0.99974483
192,150,960,153,960,182,191,180,0.99974185
191,476,400,474,400,511,192,513,0.9997383
191,351,912,351,912,379,192,379,0.9997187
192,394,960,398,960,426,191,423,0.99971837
191,275,960,274,960,304,192,304,0.9997156
192,185,368,185,368,215,191,215,0.9997142
912,487,961,490,960,508,910,505,0.9997129
192,305,304,308,304,338,191,335,0.99970144
